"Index","sfcity_adr","sfcity_days","sfcity_demd","sfcity_demt","sfcity_occ","sfcity_revpar","sfcity_rmrevt","sfcity_supd","sfcity_supt","sfzoneone_adr","sfzoneone_days","sfzoneone_demd","sfzoneone_demt","sfzoneone_occ","sfzoneone_revpar","sfzoneone_rmrevt","sfzoneone_supd","sfzoneone_supt","sfzonetwo_adr","sfzonetwo_days","sfzonetwo_demd","sfzonetwo_demt","sfzonetwo_occ","sfzonetwo_revpar","sfzonetwo_rmrevt","sfzonetwo_supd","sfzonetwo_supt","sfcity_strdays"
2006-07-01,151.145411459329,31,0.0278375806451613,0.862965,0.810858426645344,122.557530530575,130.4332,0.034331,1.064261,160.70660363888,31,0.0234953548387097,0.728356,0.805352534404253,129.425470536072,117.051619,0.029174,0.904394,98.6307203081436,31,0.00288093548387097,0.089309,0.84783269095673,83.622349009854,8.808611,0.003398,0.105338,31
2006-08-01,147.267843627458,31,0.0282575806451613,0.875985,0.823092267780178,121.215023382421,129.004421999999,0.034331,1.064261,156.0730826643,31,0.0239874193548387,0.743609999999999,0.822219077083659,128.326265985842,116.057505,0.029174,0.904394,97.2360289583665,31,0.00282496774193548,0.087574,0.8313619016879,80.8383299474073,8.51534799999999,0.003398,0.105338,31
2006-09-01,163.508371550666,30,0.0294151,0.882453,0.856808715155399,140.095397745478,144.288453,0.034331,1.02993,174.146757483219,30,0.0249636333333333,0.748908999999999,0.855680857384428,149.014046753959,130.420074,0.029174,0.87522,101.944594457186,30,0.00295036666666667,0.088511,0.868265646458701,88.5149892093388,9.023218,0.003398,0.10194,30
2006-10-01,179.684050784613,31,0.0289622903225806,0.897831,0.845120814782044,151.85473140243,161.325911,0.03427,1.06237,191.498629926969,31,0.0248279677419354,0.769666999999999,0.85103063487816,162.971200605046,147.390176,0.029174,0.904394,105.648885174739,31,0.00277925806451613,0.086157,0.817909966014164,86.4112760827052,9.102391,0.003398,0.105338,31
2006-11-01,151.990131393208,30,0.0236136,0.708408,0.687320991966469,104.466007878294,107.671025,0.034356,1.03068,161.732878153488,30,0.0204363666666666,0.613090999999999,0.698440419229892,112.960779220779,99.156972,0.02926,0.8778,87.3700374769739,30,0.00209906666666667,0.062972,0.617735923092015,53.9716107514224,5.501866,0.003398,0.10194,30
2006-12-01,137.335769604669,31,0.0208718387096774,0.647027,0.609467929383794,83.7017471312873,88.859951,0.034246,1.061626,146.273893912584,31,0.0178294838709677,0.552713999999999,0.609346680484201,89.1315116971314,80.847629,0.02926,0.90706,82.4470764893358,31,0.00210529032258064,0.0652639999999999,0.619567487516375,51.0815280335681,5.380826,0.003398,0.105338,31
2007-01-01,155.566877536308,31,0.0199124193548387,0.617285,0.585211877823979,91.0395845302359,96.0291,0.034026,1.054806,166.610887579723,31,0.0172371612903226,0.534352,0.589103256675413,98.1510164707958,89.028861,0.02926,0.90706,82.685016185373,31,0.00176383870967742,0.0546789999999999,0.551544311969173,45.6044503621215,4.521134,0.003198,0.099138,31
2007-02-01,156.641310875653,28,0.0233115714285714,0.652724,0.685110545717141,107.316613975867,102.243543,0.034026,0.952728,166.930833218924,28,0.0202905,0.568134,0.693455228981545,115.759059173909,94.839082,0.02926,0.81928,85.5984188049271,28,0.00202378571428571,0.056666,0.632828553560261,54.1691235593675,4.85052,0.003198,0.089544,28
2007-03-01,152.299332700284,31,0.0248328709677419,0.769818999999999,0.729820459876033,111.151169030134,117.24292,0.034026,1.054806,162.869466754602,31,0.0214232903225806,0.664122,0.732169867483959,119.2481158909,108.165196,0.02926,0.90706,83.3396349776034,31,0.00231890322580645,0.071886,0.725110452097077,60.4304403962154,5.990953,0.003198,0.099138,31
2007-04-01,153.831660724475,30,0.0256452333333333,0.769356999999999,0.753695213464213,115.942186367288,118.351465,0.034026,1.02078,163.64099867089,30,0.0221200666666667,0.663602,0.75598313966735,123.70983595352,108.592494,0.02926,0.8778,89.8944936250767,30,0.0023948,0.0718439999999999,0.748843026891806,67.3168647071086,6.45838,0.003198,0.09594,30
2007-05-01,168.270821019085,31,0.027450935483871,0.850979,0.802049187280751,134.961475241422,143.194935,0.034226,1.061006,178.841052973693,31,0.0236221935483871,0.732288,0.807320353670099,144.382022137455,130.963157,0.02926,0.90706,100.918020633842,31,0.0026108064516129,0.080935,0.768336212952591,77.5389697924775,8.1678,0.003398,0.105338,31
2007-06-01,154.722417247756,30,0.0271664333333333,0.814993,0.793736730360934,122.808865579774,126.097687,0.034226,1.02678,163.944944427911,30,0.0232970666666667,0.698912,0.796208703577125,130.534391660971,114.583089,0.02926,0.8778,98.4042798208094,30,0.00263406666666667,0.079022,0.77518147930155,76.2811752010987,7.776103,0.003398,0.10194,30
2007-07-01,162.683574645677,31,0.0286916774193548,0.889442,0.839821959353555,136.625238413572,144.697604,0.034164,1.059084,172.220369233687,31,0.0244901290322581,0.759194,0.83698322051463,144.14555927943,130.748671,0.02926,0.90706,106.188804166713,31,0.00292332258064516,0.090623,0.860306821849665,91.354952628681,9.623148,0.003398,0.105338,31
2007-08-01,163.066465299779,31,0.0294759677419355,0.913755,0.861946011110199,140.554489310985,149.002798,0.034197,1.060107,172.367169279409,31,0.0252422903225806,0.782511,0.861717486176924,148.531803810885,134.879206,0.029293,0.908083,112.8925332477,31,0.00291312903225806,0.090307,0.857306954755169,96.7835538931819,10.194986,0.003398,0.105338,31
2007-09-01,177.513034679609,30,0.0296158666666667,0.888476,0.867305082925782,153.957957263205,157.716071,0.034147,1.02441,188.042320180363,30,0.0253267666666667,0.759803,0.864601326824384,162.581639527077,142.875119,0.029293,0.87879,112.61951452961,30,0.00299503333333333,0.089851,0.881410633706102,99.2640376692172,10.118976,0.003398,0.10194,30
