"date","sfcity_contract_adr","sfcity_contract_demt","sfcity_contract_occ","sfcity_contract_revpar","sfcity_contract_rmrevt","sfcity_group_adr","sfcity_group_demt","sfcity_group_occ","sfcity_group_revpar","sfcity_group_rmrevt","sfcity_total_adr","sfcity_total_demt","sfcity_total_occ","sfcity_total_revpar","sfcity_total_rmrevt","sfcity_total_supt","sfcity_transient_adr","sfcity_transient_demt","sfcity_transient_occ","sfcity_transient_revpar","sfcity_transient_rmrevt"
2009-01-01,98.7340304745187,404728.212537313,0.0447761194029851,3.25380207892145,39960447.6705566,173.857097113289,2330253.3449118,0.257801899592944,32.9880277616315,405131082.084899,146.25,9038930.08,0.736,107.64,1321943524.2,12281155,139.095678098864,6303948.52255088,0.69742198100407,71.3981701594471,876851994.444544
2010-01-01,91.7772895160906,392996.96,0.0414507772020725,2.9368732645149,36068195.7768635,166.053188964277,2357981.76,0.248704663212435,31.8822122811411,391550390.767598,150.04,9481051.66,0.772,115.83088,1422536991.0664,12281155,147.831741705007,6730072.94,0.709844559585492,81.011794454344,994918404.521939
2011-01-01,97.9138964835263,380715.805,0.03875,3.03533079098932,37277367.9204124,179.70044536898,2738697.565,0.27875,40.0731993172825,492145172.16144,173.44,9824924,0.8,138.752,1704034818.56,12281155,175.17119027789,6705510.63,0.6825,95.6434698917282,1174612278.47815
2013-01-01,133.674061756212,429613.880243074,0.0417125671146252,4.68934500000152,57428232.3589386,212.244544153734,2754811.83038631,0.267473372364359,47.7436053076279,584693781.169656,209.137455823554,10299387.2101543,0.841004118238357,175.885461625502,2153987637.67332,12246536,212.491047807593,7114961.49952491,0.690814060521016,123.452511317872,1511865624.14473
2014-01-01,155.567837430282,446674.081098273,0.0426483201350332,5.6402787043986,69488120.8326167,230.905074223151,2859878.21226517,0.273060396170731,53.6007680915279,660360390.872262,231.326473457256,10473427.3163401,0.850117233659475,196.654621687684,2422781006.09984,12319980,236.216271243395,7166875.02297662,0.684291283694236,137.413574891758,1692932494.39496
2015-01-01,176.910434185003,458518.994946004,0.0441297222644688,6.61658309784225,81116794.4779688,250.315271952507,2701842.1517179,0.260036214577733,55.1658495924028,676312352.980013,246.128251926749,10390253.358,0.847518386214254,208.598218874694,2557334896.08058,12259620,248.953330977803,7229892.21133609,0.695834063157798,146.815786184449,1799905748.6226
