"geo_ttl","date","seg","adr","occ","revpar","demd","supd","rmrev"
"sfcity",2011-01-01,"contract",89.8872109883628,0.0325579052841346,2.92653930161414,NA,NA,NA
"sfcity",2011-01-01,"group",123.926126392089,0.0211233594604841,2.61773611432549,NA,NA,NA
"sfcity",2011-01-01,"total",132.76892396346,0.544493869068181,72.2918651008836,NA,NA,NA
"sfcity",2011-01-01,"transient",135.994041507828,0.490812604323562,66.7475896849439,NA,NA,NA
"sfcity",2011-01-02,"contract",85.8005112770282,0.0319740706812023,2.74339161205499,NA,NA,NA
"sfcity",2011-01-02,"group",137.866884327426,0.0329363546141523,4.54083259175645,NA,NA,NA
"sfcity",2011-01-02,"total",120.352701726897,0.365011791839443,43.9301553100528,NA,NA,NA
"sfcity",2011-01-02,"transient",122.111843502244,0.300101366544089,36.6459311062414,NA,NA,NA
"sfcity",2011-01-03,"contract",86.3963686379008,0.032690516434516,2.8243419088398,NA,NA,NA
"sfcity",2011-01-03,"group",143.233948875311,0.0632593967030833,9.06089319325246,NA,NA,NA
"sfcity",2011-01-03,"total",126.642239607326,0.397698534372225,50.3654330814499,NA,NA,NA
"sfcity",2011-01-03,"transient",127.524022551994,0.301748621234625,38.4801979793576,NA,NA,NA
"sfcity",2011-01-04,"contract",84.7938033776256,0.0331677482526128,2.81241952381064,NA,NA,NA
"sfcity",2011-01-04,"group",144.05445627316,0.108311452362407,15.602747378223,NA,NA,NA
"sfcity",2011-01-04,"total",132.094026735692,0.493723215729809,65.2178876586452,NA,NA,NA
"sfcity",2011-01-04,"transient",132.870165988085,0.352244015114788,46.8027207566116,NA,NA,NA
"sfcity",2011-01-05,"contract",87.476815637674,0.0324956262266603,2.84261390446032,NA,NA,NA
"sfcity",2011-01-05,"group",141.626125639407,0.166296263461338,23.5518955023395,NA,NA,NA
"sfcity",2011-01-05,"total",135.197312203357,0.58620781666868,79.2537212062043,NA,NA,NA
"sfcity",2011-01-05,"transient",136.440471643387,0.387415926980682,52.8592117994044,NA,NA,NA
"sfcity",2011-01-06,"contract",87.057371615346,0.0300327604325405,2.61457318561034,NA,NA,NA
"sfcity",2011-01-06,"group",139.645212412461,0.184247302762575,25.7292537307028,NA,NA,NA
"sfcity",2011-01-06,"total",133.360284925645,0.586620826050863,78.2319205054609,NA,NA,NA
"sfcity",2011-01-06,"transient",133.985044254946,0.372340762855748,49.8880935891477,NA,NA,NA
"sfcity",2011-01-07,"contract",85.5986141258557,0.0321669546097401,2.75344673524306,NA,NA,NA
"sfcity",2011-01-07,"group",139.646573908767,0.184090038386612,25.7075431514239,NA,NA,NA
"sfcity",2011-01-07,"total",131.880579502903,0.60408522278318,79.6671092497865,NA,NA,NA
"sfcity",2011-01-07,"transient",132.032986333319,0.387828229786827,51.2061193631195,NA,NA,NA
"sfcity",2011-01-08,"contract",82.6285345643261,0.0328073558921799,2.71082374030114,NA,NA,NA
"sfcity",2011-01-08,"group",145.361156764467,0.174871840420027,25.4195730089865,NA,NA,NA
"sfcity",2011-01-08,"total",138.141535815079,0.682911013439851,94.3383762216135,NA,NA,NA
"sfcity",2011-01-08,"transient",139.317228110892,0.475231817127643,66.2079794723258,NA,NA,NA
"sfcity",2011-01-09,"contract",87.3887426173385,0.0311193609761215,2.71948182675833,NA,NA,NA
"sfcity",2011-01-09,"group",212.487531204896,0.234271221503885,49.7797134897159,NA,NA,NA
"sfcity",2011-01-09,"total",197.30394767554,0.798966649833318,157.639274073214,NA,NA,NA
"sfcity",2011-01-09,"transient",197.04796595969,0.533576067353311,105.14007875674,NA,NA,NA
"sfcity",2011-01-10,"contract",79.9982739343639,0.0304955217615899,2.43958910365503,NA,NA,NA
"sfcity",2011-01-10,"group",231.894184727996,0.271809631057906,63.0310727953907,NA,NA,NA
"sfcity",2011-01-10,"total",234.207763753362,0.834809964072785,195.518974844511,NA,NA,NA
"sfcity",2011-01-10,"transient",244.219977354547,0.532504811253288,130.048312945465,NA,NA,NA
"sfcity",2011-01-11,"contract",85.6471494233492,0.0309067547505664,2.64707544231257,NA,NA,NA
"sfcity",2011-01-11,"group",230.516105679242,0.278558051813588,64.2121173096652,NA,NA,NA
"sfcity",2011-01-11,"total",233.540491488111,0.873691847338314,204.042423436546,NA,NA,NA
"sfcity",2011-01-11,"transient",243.134803493897,0.564227040774159,137.183230684568,NA,NA,NA
"sfcity",2011-01-12,"contract",89.9697926501324,0.0297955931364039,2.68070333636997,NA,NA,NA
"sfcity",2011-01-12,"group",226.647275276657,0.242329639566563,54.923352526536,NA,NA,NA
"sfcity",2011-01-12,"total",218.272132892106,0.788464411257804,172.09980875476,NA,NA,NA
"sfcity",2011-01-12,"transient",221.745235781472,0.516339178554836,114.495752891854,NA,NA,NA
"sfcity",2011-01-13,"contract",87.8401598780839,0.0326486968547814,2.86786675153509,NA,NA,NA
"sfcity",2011-01-13,"group",182.301512315876,0.173520211392704,31.6329969542606,NA,NA,NA
"sfcity",2011-01-13,"total",165.677231931753,0.620959606112377,102.87886868213,NA,NA,NA
"sfcity",2011-01-13,"transient",164.849417617864,0.414790697864891,68.3780049763351,NA,NA,NA
"sfcity",2011-01-14,"contract",87.6686810804559,0.0324047868831275,2.84088492673705,NA,NA,NA
"sfcity",2011-01-14,"group",151.189067854261,0.181319708714536,27.4135577441569,NA,NA,NA
"sfcity",2011-01-14,"total",140.411549383356,0.6414330712006,90.0646113530009,NA,NA,NA
"sfcity",2011-01-14,"transient",139.838600612094,0.427708575602936,59.8101686821069,NA,NA,NA
