"Index","sfcity_adr","sfcity_days","sfcity_demd","sfcity_demt","sfcity_occ","sfcity_revpar","sfcity_rmrevt","sfcity_supd","sfcity_supt","sfzoneone_adr","sfzoneone_days","sfzoneone_demd","sfzoneone_demt","sfzoneone_occ","sfzoneone_revpar","sfzoneone_rmrevt","sfzoneone_supd","sfzoneone_supt","sfzonetwo_adr","sfzonetwo_days","sfzonetwo_demd","sfzonetwo_demt","sfzonetwo_occ","sfzonetwo_revpar","sfzonetwo_rmrevt","sfzonetwo_supd","sfzonetwo_supt","sfcity_strdays"
2006-07-01,154.011449212501,92,0.0284935108695652,2.621403,0.829964488933186,127.824033735513,403.726074999999,0.034331,3.158452,163.687374570834,92,0.0241399456521739,2.220875,0.827447235626719,135.442665595632,363.529198,0.029174,2.684008,99.2757070619531,92,0.00288471739130435,0.265394,0.848945671366789,84.2796817821225,26.347177,0.003398,0.312616,92
2006-10-01,158.816973672882,92,0.0244920217391304,2.253266,0.714262257043195,113.436970072362,357.856887,0.0342899565217391,3.154676,169.155005600701,92,0.0210377391304347,1.935472,0.719705911007289,121.741857407296,327.394777,0.0292310217391304,2.689254,93.2170499969682,92,0.00233035869565217,0.214393,0.685803029915295,63.9285353276864,19.985083,0.003398,0.312616,92
2007-01-01,154.677533105732,90,0.0226647555555555,2.039828,0.666101086097559,103.03087279662,315.515563,0.034026,3.06234,165.307266241294,90,0.0196289777777778,1.766608,0.670846814004709,110.8958528898,292.033139,0.02926,2.6334,83.8428377294236,90,0.0020359,0.183231,0.636616635397123,53.3757452574526,15.362607,0.003198,0.28782,90
2007-04-01,159.175243673442,91,0.0267618571428571,2.435329,0.783425219216835,124.70190016876,387.644087,0.0341600659340659,3.108566,169.055948963196,91,0.0230198021978022,2.094802,0.786732816056124,133.001862798855,354.13874,0.02926,2.66266,96.6444622758315,91,0.00254726373626374,0.231801,0.764469787413676,73.8817715307139,22.402283,0.00333206593406593,0.303218,91
2007-07-01,167.708511769446,92,0.0292573152173913,2.691673,0.856238752946064,143.598526975911,451.416473,0.0341695760869565,3.143601,177.49362418032,92,0.0250163913043478,2.301508,0.854330081705818,151.638142448235,408.502996,0.0292818804347826,2.693933,110.558384820205,92,0.00294327173913043,0.270781,0.866177674847097,95.7632046984159,29.93711,0.003398,0.312616,92
2007-10-01,171.843687820631,92,0.0256478804347826,2.359605,0.75193448407066,129.215194742206,405.483225,0.0341091956521739,3.138046,182.701471770301,92,0.0220689565217391,2.030344,0.753386697222515,137.64485839472,370.946837,0.029293,2.694956,83.7208714831628,92,0.00254289130434782,0.233946,0.748349412698006,62.6524650049901,19.586163,0.003398,0.312616,92
2008-01-01,167.607502807987,90,0.0236033111111111,2.124298,0.695082750361562,116.501084033009,356.048283,0.0339575555555556,3.05618,178.124051245933,90,0.0206030444444444,1.854274,0.693902493787982,123.600723363171,330.290797,0.0296915555555556,2.67224,103.312435882305,90,0.00244775555555555,0.220298,0.720351840952194,74.4213033810738,22.759523,0.003398,0.30582,90
2008-04-01,173.360942967687,91,0.026987978021978,2.455906,0.790346971094914,137.015296180669,425.75818,0.034147,3.107377,182.354446575905,91,0.0236184945054945,2.149283,0.790418476807821,144.13632390166,391.931312,0.029881,2.719171,123.946487776665,91,0.00269795604395604,0.245514,0.793983532653338,98.4114702248899,30.430598,0.003398,0.309218,91
2008-07-01,177.707435123788,92,0.029886347826087,2.749544,0.874326378794928,155.374298236716,488.614412,0.0341821413043478,3.144757,185.82873345448,92,0.0261211195652174,2.403143,0.873144677967579,162.255369629235,446.57302,0.0299161413043478,2.752285,118.683318572507,92,0.00299460869565217,0.275504,0.881285666760498,104.593907541521,32.697729,0.003398,0.312616,92
2008-10-01,171.448637995203,92,0.0243103913043478,2.236556,0.71083015509789,121.870861937452,383.45448,0.0342,3.1464,180.932634149699,92,0.0213188586956522,1.961335,0.712195453185413,128.859399374276,354.869508,0.029934,2.753928,79.7939795973737,92,0.00240378260869565,0.221148,0.707411009033446,56.4471396217724,17.646279,0.003398,0.312616,92
